location,start,stop,lumens
HF 33,1528075956000,1528075971000,9.08
HF 33,1528075257000,1528075272000,12.47
HF 33,1528060561000,1528060611000,5.41
HF 33,1528058939000,1528058954000,7.22
HF 33,1528058819000,1528058834000,5.08
HF 33,1527972753000,1527972773000,6.03
HF 33,1527971783000,1527971809000,5.63
HF 33,1527971755000,1527971773000,5.4
HF 33,1527971711000,1527971745000,5.03
HF 33,1527815538000,1527815557000,5.45
HF 33,1527815480000,1527815496000,7.73
HF 33,1527802203000,1527802218000,7.58
HF 33,1527802142000,1527802157000,6.65
HF 33,1527802055000,1527802121000,10.06
HF 33,1527729672000,1527729688000,8.55
HF 33,1527635151000,1527635168000,5.66
HF 33,1527561531000,1527561546000,6.32
HF 33,1527540084000,1527540110000,5.83
HF 33,1527540024000,1527540074000,5.71
HF 33,1527477878000,1527477951000,6.15
HF 33,1527477524000,1527477539000,9.35
HF 33,1527477501000,1527477514000,9.52
HF 33,1527477444000,1527477467000,6.19
HF 33,1527469241000,1527469256000,9.66
HF 33,1527464438000,1527464453000,6.58
HF 33,1527453495000,1527453546000,5.7
HF 33,1527453445000,1527453479000,5.53
HF 33,1527385595000,1527385610000,5.66
HF 33,1527383619000,1527383634000,6.23
HF 33,1527379989000,1527380005000,5.23
HF 33,1527374056000,1527374071000,5.57
HF 33,1527374035000,1527374046000,6.61
HF 33,1527366757000,1527366774000,5.61
HF 33,1527366734000,1527366747000,5.12
HF 33,1527193910000,1527193925000,7.3
HF 33,1527107885000,1527107904000,5.7
HF 33,1527045729000,1527045744000,5.84
HF 33,1527021269000,1527021288000,5.64
HF 33,1527021238000,1527021259000,5.38
HF 33,1526592703000,1526592725000,6.16
HF 33,1526158457000,1526158472000,6.82
HF 33,1525924940000,1525924955000,12.11
HF 33,1525812294000,1525812315000,5.17
HF 33,1525811939000,1525811954000,7.32
HF 33,1525811882000,1525811899000,5.17
HF 33,1525732294000,1525732320000,8.1
HF 33,1525732107000,1525732123000,9.28
HF 33,1525732056000,1525732078000,8.67
HF 33,1525731935000,1525731950000,9.12
HF 33,1525731858000,1525731901000,17.2
HF 33,1525731775000,1525731790000,10.33
HF 33,1525726864000,1525726896000,6.98
HF 33,1525726799000,1525726814000,6.83
HF 33,1525725522000,1525725537000,5.1
HF 33,1525725494000,1525725512000,6.14
HF 33,1525652727000,1525652742000,6.05
HF 33,1525638256000,1525638315000,6.52
HF 33,1525560930000,1525560945000,8.54
HF 33,1525557457000,1525557472000,9.77
HF 33,1525553110000,1525553129000,7.23
HF 33,1525553077000,1525553100000,8.27
HF 33,1525553046000,1525553061000,5.51
HF 33,1525552516000,1525552532000,7.7
HF 33,1525395560000,1525395575000,5.32
HF 33,1525386900000,1525386920000,11.9
HF 33,1525386802000,1525386867000,7.96
HF 33,1525232695000,1525232712000,8.33
HF 33,1525231177000,1525231192000,13.81
HF 33,1525230943000,1525230958000,6.27
HF 33,1525230300000,1525230342000,7.77
HF 33,1525229506000,1525229521000,7.12
HF 33,1525229480000,1525229495000,5.9
HF 33,1525229442000,1525229467000,8.38
HF 33,1525229413000,1525229428000,9.09
HF 33,1525229348000,1525229395000,12.55
HF 33,1525229323000,1525229338000,8.6
HF 33,1525229271000,1525229296000,10.95
HF 33,1525229160000,1525229189000,7.12
HF 33,1525229030000,1525229107000,5.03
HF 33,1525228871000,1525228886000,10.05
HF 33,1525228849000,1525228861001,5.07
HF 33,1525228806000,1525228824000,6.43
HF 33,1525206100000,1525206115000,6.32
HF 33,1525206077000,1525206090000,6.34
HF 33,1525127659000,1525127674000,8.13
HF 33,1525124624000,1525124730000,10.77
HF 33,1525120478000,1525120572000,6.06
HF 33,1525059968000,1525059983000,7.39
HF 33,1525059848000,1525059863000,9.65
HF 33,1525058330000,1525058345000,16.5
HF 33,1525045308000,1525045323000,6.3
HF 33,1525045286000,1525045298000,5.83
HF 33,1525045262000,1525045276000,6.25
HF 33,1525045095000,1525045110000,9.56
HF 33,1525044358000,1525044426000,14.08
HF 33,1525035120000,1525035137000,8.62
HF 33,1525035102000,1525035110000,8.32
HF 33,1525033390000,1525033464000,6.46
HF 33,1524962261000,1524962276000,7.87
HF 33,1524948413000,1524948428000,6.89
HF 33,1524948395000,1524948403000,7.44
HF 33,1524948372000,1524948385000,6.12
HF 33,1524947708000,1524947723000,7.46
HF 33,1524947053000,1524947068000,6.38
HF 33,1524947012000,1524947041000,6.44
HF 33,1524790134000,1524790149000,8.07
HF 33,1524773796000,1524773855000,6.58
HF 33,1524714843000,1524714858000,8.32
HF 33,1524700103000,1524700138000,7.48
HF 33,1524695351000,1524695376000,10.28
HF 33,1524695271000,1524695313000,7.49
HF 33,1524688246000,1524688261001,5.27
HF 33,1524627811000,1524627826000,6.17
HF 33,1524627770000,1524627785000,9.5
HF 33,1524621323000,1524621338000,5.92
HF 33,1524616179000,1524616232000,9.49
HF 33,1524610687000,1524610702000,5.12
HF 33,1524608694000,1524608718000,8.7
HF 33,1523823855000,1523823870000,5.67
HF 33,1523764983000,1523764998000,5.93
HF 33,1523566727000,1523566742000,5.85
HF 33,1523418913000,1523418928000,5.37
HF 33,1523392766000,1523392781000,6.4
HF 33,1523307925000,1523307977000,9.99
HF 33,1523307778000,1523307793000,5.89
HF 33,1523241521000,1523241536000,5.28
HF 33,1523154579000,1523154637000,8.93
HF 33,1523154548000,1523154563000,17.24
HF 33,1523152181000,1523152196000,7.07
HF 33,1523144503000,1523144518000,5.46
HF 33,1523144472000,1523144487000,6.03
HF 33,1523144424000,1523144442000,6.03
HF 33,1523144346000,1523144365000,6.17
HF 33,1523144078000,1523144121000,5.97
HF 33,1523144018000,1523144039000,5.28
HF 33,1523143968000,1523143983000,11.1
HF 33,1523143933000,1523143948000,15.78
HF 33,1523143752000,1523143767000,6.64
HF 33,1523143589000,1523143604000,15.74
HF 33,1523143565000,1523143579000,5.87
HF 33,1523143498000,1523143513000,16.7
HF 33,1523140909000,1523140924000,7.69
HF 33,1523134220000,1523134235000,6.75
HF 33,1523133319000,1523133342000,6.2
HF 33,1523133299000,1523133309000,6.07
HF 33,1523132518000,1523132533000,7.78
HF 33,1522964677000,1522964692000,13.57
HF 33,1522964656000,1522964667000,6.58
HF 33,1522964539000,1522964586000,5.06
HF 33,1522964494000,1522964514000,8.45
HF 33,1522963229000,1522963244000,6.44
HF 33,1522963206000,1522963219000,6.66
HF 33,1522963157000,1522963178000,6.6
HF 33,1522900740000,1522900755000,16.15
HF 33,1519268918000,1519268954000,6.35
HF 33,1519260654000,1519260669000,11.64
HF 33,1519247110000,1519247125000,15.72
HF 33,1519247087000,1519247100000,12.61
HF 33,1519010918000,1519011235000,7.9
HF 33,1519010874000,1519010890000,12.2
HF 33,1519009855000,1519009865000,6.68
HF 33,1518995315000,1518995343000,7.12
HF 33,1518987210000,1518987261000,7.43
HF 33,1518920053000,1518920073000,5.3
HF 33,1518900269000,1518900284000,8.57
HF 33,1518900182000,1518900246000,8.6
HF 33,1518742727000,1518742742000,9.61
HF 33,1518742704000,1518742716000,7.6
HF 33,1518731595000,1518731610000,7.32
HF 33,1518728549000,1518728564000,7.43
HF 33,1518728427000,1518728539000,7.57
HF 33,1518726939000,1518726954000,6.46
HF 33,1518726886000,1518726901000,7.29
HF 33,1518662522000,1518662583000,9.45
HF 33,1518662488000,1518662508000,6.62
HF 33,1518662438000,1518662458000,9.62
HF 33,1518659640000,1518659655000,5.7
HF 33,1518655084000,1518655119000,10.25
HF 33,1518641172000,1518641188000,8.12
HF 33,1518640207000,1518640230000,11.24
HF 33,1518640164000,1518640181000,5.66
HF 33,1517964628000,1517964649000,15.33
HF 33,1517955994000,1517956026000,6.69
HF 33,1517949219000,1517949238000,8.65
HF 33,1517949114000,1517949129000,5.27
HF 33,1517779039000,1517779055000,5.56
HF 33,1517710789000,1517710804000,7.79
HF 33,1517710768000,1517710779000,6.34
HF 33,1517710726000,1517710741000,5.28
HF 33,1517710552000,1517710567000,5.49
HF 33,1517709370000,1517709389000,18.4
HF 33,1517703812000,1517703827000,16.91
HF 33,1517703787000,1517703802000,13.71
HF 33,1517703433000,1517703448000,11.82
HF 33,1517703394000,1517703409000,11.34
HF 33,1517703366000,1517703381000,19.32
HF 33,1517699358000,1517699373000,5.3
HF 33,1517699316000,1517699331000,41.88
